auth_name,code,name,description,scope,coordinate_system_auth_name,coordinate_system_code,geodetic_crs_auth_name,geodetic_crs_code,conversion_auth_name,conversion_code,area_of_use_auth_name,area_of_use_code,text_definition,deprecated
EPSG,2048,Hartebeesthoek94 / Lo19,,,EPSG,6503,EPSG,4148,EPSG,17519,EPSG,1456,,0
EPSG,2049,Hartebeesthoek94 / Lo21,,,EPSG,6503,EPSG,4148,EPSG,17521,EPSG,1457,,0
EPSG,2050,Hartebeesthoek94 / Lo23,,,EPSG,6503,EPSG,4148,EPSG,17523,EPSG,1458,,0
EPSG,2051,Hartebeesthoek94 / Lo25,,,EPSG,6503,EPSG,4148,EPSG,17525,EPSG,1459,,0
EPSG,2052,Hartebeesthoek94 / Lo27,,,EPSG,6503,EPSG,4148,EPSG,17527,EPSG,1460,,0
EPSG,2053,Hartebeesthoek94 / Lo29,,,EPSG,6503,EPSG,4148,EPSG,17529,EPSG,1461,,0
EPSG,2054,Hartebeesthoek94 / Lo31,,,EPSG,6503,EPSG,4148,EPSG,17531,EPSG,1462,,0
EPSG,2055,Hartebeesthoek94 / Lo33,,,EPSG,6503,EPSG,4148,EPSG,17533,EPSG,1463,,0
EPSG,2056,CH1903+ / LV95,,,EPSG,4400,EPSG,4150,EPSG,19950,EPSG,1286,,0
EPSG,2057,Rassadiran / Nakhl e Taqi,,,EPSG,4400,EPSG,4153,EPSG,19951,EPSG,1338,,0
EPSG,2058,ED50(ED77) / UTM zone 38N,,,EPSG,4400,EPSG,4154,EPSG,16038,EPSG,1464,,0
EPSG,2059,ED50(ED77) / UTM zone 39N,,,EPSG,4400,EPSG,4154,EPSG,16039,EPSG,1465,,0
EPSG,2060,ED50(ED77) / UTM zone 40N,,,EPSG,4400,EPSG,4154,EPSG,16040,EPSG,1466,,0
EPSG,2061,ED50(ED77) / UTM zone 41N,,,EPSG,4400,EPSG,4154,EPSG,16041,EPSG,1467,,0
EPSG,2062,Madrid 1870 (Madrid) / Spain,,,EPSG,4499,EPSG,4903,EPSG,19921,EPSG,2366,,0
